ID,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
21,1680,A. Morin,France,2015,Togo,Akata,70,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild profile,chocolaty,spice,
22,1704,A. Morin,France,2015,Peru,Quilla,70,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,grainy texture,cocoa,sweet,
23,1676,A. Morin,France,2015,Togo,Atsane,70,3,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,acidic,nutty,
24,1676,A. Morin,France,2015,Togo,Kpime,70,2.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,burnt wood,earthy,choco,
28,1462,Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,yellow fruit,,,
29,1470,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,intense,nutty,cherry,cocoa
82,1498,Ambrosia,Canada,2015,Peru,Peru,68,3.5,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,rich,sour,mild smoke,
83,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fruity,sour,,
84,1498,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,high roast,high astringnet,,
85,1498,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,smokey,savory,,
86,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70,3.25,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,roasty,nutty,
87,1494,Ambrosia,Canada,2015,Belize,Belize,64,3,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,roasty,brownie,nutty,
112,1598,Arete,U.S.A,2015,Nicaragua,Chuno,70,4,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,creamy,sticky,peanut butter,
113,1534,Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70,3.75,2,have_bean,have_not_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,spicy,cocoa,,
